"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Kansas City Art Institute",39.0464,-94.5836,"Kansas City",11,33712.0,33712.0,2,"www.kcai.edu",0.5789,0.7384,0.643,27000.0,3700.0,10800.0,28800.0,45600.0,0.77971,0.791781,0.767372,0.872832
"Kansas State University",39.1886,-96.5811,"Manhattan",13,8585.0,21530.0,1,"www.k-state.edu",0.5944,0.8119,0.9591,22500.0,11400.0,22800.0,48800.0,65100.0,0.86771,0.861573,0.896727,0.927717
"Keene State College",42.926,-72.2814,"Keene",32,12776.0,20161.0,1,"www.keene.edu",0.634,0.764,0.8185,26000.0,12000.0,21100.0,41600.0,54500.0,0.924907,0.91774,0.902622,0.911561
"Keiser University-Ft Lauderdale",26.1859,-80.164,"Fort Lauderdale",12,16284.0,16284.0,2,"www.keiseruniversity.edu",0.571,0.7353,0.9331,27500.0,6400.0,14900.0,40200.0,58100.0,0.455,0.468017,0.5624,0.68361
"Kent State University at Kent",41.1538,-81.3512,"Kent",21,9816.0,17776.0,1,"www.kent.edu",0.5152,0.7774,0.8302,26225.0,8700.0,17700.0,41600.0,55600.0,0.662331,0.690392,0.771843,0.801793
"Kettering College",39.6941,-84.1916,"Kettering",21,10032.0,10032.0,2,"www.kc.edu",0.6271,0.5211,0.8514,26999.0,15800.0,32100.0,61800.0,87400.0,0.731563,0.791123,0.869674,0.836565
"Kettering University",43.0131,-83.7144,"Flint",12,35600.0,35600.0,2,"WWW.KETTERING.EDU",0.6078,0.9194,0.6159,26761.5,27800.0,52100.0,75600.0,85700.0,0.950777,0.931559,0.948087,0.948857
"King University",36.5859,-82.1565,"Bristol",13,24960.0,24960.0,2,"www.king.edu",0.5165,0.6869,0.6377,20500.0,10700.0,21300.0,51900.0,69900.0,0.834055,0.853495,0.842365,0.881443
"King's College",41.2481,-75.8786,"Wilkes-Barre",13,30310.0,30310.0,2,"www.kings.edu",0.6577,0.7563,0.7151,27000.0,14600.0,24500.0,54000.0,77500.0,0.896054,0.879605,0.877753,0.935921
"Knox College",40.9418,-90.3703,"Galesburg",33,38952.0,38952.0,2,"www.knox.edu",0.7948,0.8806,0.7496,27000.0,6800.0,14700.0,38100.0,49000.0,0.892944,0.895455,0.933806,0.927184
"Kutztown University of Pennsylvania",40.5137,-75.7854,"Kutztown",31,8819.0,18943.0,1,"www2.kutztown.edu/",0.5482,0.7291,0.8179,26000.0,9600.0,19100.0,41500.0,52500.0,0.879699,0.877848,0.885912,0.891851
"La Salle University",40.0385,-75.153,"Philadelphia",11,38200.0,38200.0,2,"www.lasalle.edu",0.6443,0.825,0.8021,27000.0,15000.0,28300.0,62000.0,77100.0,0.871503,0.87433,0.896345,0.918288
"Laguna College of Art and Design",33.5614,-117.773,"Laguna Beach",41,26500.0,26500.0,2,"www.lcad.edu",0.6333,0.8421,0.4327,29500.0,5400.0,12400.0,39700.0,56500.0,0.820144,0.82,0.851852,0.85906
"Lake Forest College",42.2505,-87.8308,"Lake Forest",21,39842.0,39842.0,2,"www.lakeforest.edu",0.6376,0.8221,0.5727,27000.0,6800.0,18500.0,46000.0,62400.0,0.932927,0.93321,0.906318,0.933054
"Lakeland College",43.8419,-87.885,"Plymouth",41,22950.0,22950.0,2,"www.lakeland.edu",0.5083,0.6954,0.6621,27000.0,10300.0,20500.0,45400.0,64700.0,0.827053,0.810688,0.805219,0.851029
"Lancaster Bible College",40.0744,-76.2878,"Lancaster",21,18270.0,18270.0,2,"www.LBC.edu",0.6952,0.7164,0.5813,18750.0,8800.0,16900.0,35200.0,47700.0,0.935065,0.907455,0.933775,0.926431
"Lander University",34.2011,-82.1664,"Greenwood",32,10100.0,19136.0,1,"www.lander.edu",0.515,0.6138,0.4216,26780.0,7200.0,16200.0,36100.0,50600.0,0.824242,0.783742,0.873723,0.86155
