,LATITUDE,LONGITUDE,CITY,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,INSTURL,C150_4,RET_FT4,ADM_RATE,GRAD_DEBT_MDN,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,RPY_1YR_RT,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT
Glendale Community College,33.5675,-112.1883,Glendale,21,1974,7758,1,www.gccaz.edu,NULL,NULL,NULL,PrivacySuppressed,6500,15800,40900,56800,0.522788204,0.55743349,0.627343393,0.686095734
Grand Canyon University,33.5122,-112.1299,Phoenix,11,17000,17000,3,www.gcu.edu,0.3036,0.5878,0.548,18750,10000,23600,67200,90500,0.379267536,0.399403398,0.518217627,0.838682432
Anthem College-Phoenix,33.4943,-112.0502,Phoenix,11,13775,13775,3,www.anthem.edu,0.7996,0.875,NULL,14024,4100,12100,35400,48300,0.567418316,0.510501879,0.499284692,0.569058941
International Academy of Hair Design,33.393,-111.8627,Mesa,11,NULL,NULL,3,www.intlacademyaz.com/,NULL,NULL,NULL,11833,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.579710145,0.583333333,0.654008439,0.680327869
Kaplan College-Phoenix,33.6082,-112.1189,Phoenix,11,NULL,NULL,3,www.kaplancollege.com/phoenix-az/,NULL,NULL,NULL,12594,5400,14000,36300,47900,0.512971698,0.420224719,0.456521739,0.510683761
GateWay Community College,33.4495,-111.9965,Phoenix,11,1974,7758,1,www.gatewaycc.edu,NULL,NULL,NULL,6946,5200,15800,47900,66800,0.558285164,0.585662759,0.628642281,0.652861035
Mesa Community College,33.3913,-111.8715,Mesa,11,1974,7758,1,www.mesacc.edu,NULL,NULL,NULL,PrivacySuppressed,5100,15000,42100,60100,0.506512567,0.520622968,0.624156039,0.691100443
ITT Technical Institute-Tucson,32.2973,-110.9975,Tucson,21,18048,18048,3,www.itt-tech.edu,0.2182,NULL,0.9703,25833.5,6400,16100,44700,64300,0.42789512,0.394119686,0.470262343,0.581587749
ITT Technical Institute-Tempe,33.3804,-111.9692,Tempe,12,18048,18048,3,www.itt-tech.edu,0.25,0,0.9796,25833.5,6400,16100,44700,64300,0.42789512,0.394119686,0.470262343,0.581587749
Mohave Community College,35.2707,-114.0302,Kingman,41,2040,7656,1,www.mohave.edu,NULL,NULL,NULL,13250,2900,9700,35000,53100,0.372955289,0.381893861,0.366329966,0.475910693
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,33.6844,-112.1213,Phoenix,11,NULL,NULL,3,www.uti.edu/,NULL,NULL,NULL,18481,7600,17800,41700,55400,0.667705971,0.591099916,0.671718377,0.714630548
Dine College,36.3276,-109.2947,Tsaile,43,805,805,1,www.dinecollege.edu,0.0205,0.8,NULL,NULL,2500,7900,26600,36100,NULL,NULL,NULL,NULL
Northern Arizona University,35.1801,-111.6577,Flagstaff,13,9738,22093,1,nau.edu/,0.4924,0.7178,0.9137,21450,9500,19800,43900,61900,0.730524079,0.760114231,0.785281877,0.832987747
Northland Pioneer College,34.9222,-110.1316,Holbrook,41,1606,7390,1,www.npc.edu,NULL,NULL,NULL,NULL,3000,8900,30800,45500,NULL,NULL,NULL,NULL
Ottawa University-Phoenix,33.5779,-112.1134,Phoenix,11,NULL,NULL,2,www.ottawa.edu,NULL,NULL,NULL,25000,11000,23400,49900,68900,0.701626472,0.724907063,0.750618812,0.841006424
Phoenix College,33.4814,-112.0883,Phoenix,11,1974,7758,1,www.phoenixcollege.edu,NULL,NULL,NULL,11373,5100,13500,37800,52900,0.455609756,0.465587045,0.591994835,0.640936687
Cortiva Institute-Scottsdale,33.4666,-111.9084,Scottsdale,12,NULL,NULL,3,www.cortiva.com/,NULL,NULL,NULL,7917,4700,10400,32800,46700,0.755102041,0.73828125,0.573170732,0.77443609
University of Phoenix-Phoenix Campus,33.4123,-111.9802,Tempe,12,11320,11320,3,www.phoenix.edu,0.1568,0.4605,NULL,35500,9000,21600,58900,84700,0.395480226,0.406534043,0.466682726,0.688636451
Pima Community College,32.2268,-110.9852,Tucson,11,1724,8048,1,www.pima.edu,NULL,NULL,NULL,9500,4900,13400,36400,52700,0.509745127,0.530150309,0.583952833,0.66013712
Pima Medical Institute-Tucson,32.2504,-110.9213,Tucson,11,NULL,NULL,3,pmi.edu,0.6189,0.8056,NULL,9498,4600,13200,35800,50600,0.701478007,0.614709852,0.573035096,0.612936084
